"","weight","year","age"
"195",39.2629068326159,2016,7
"196",46.1655691855872,2016,8
"197",54.5846007792446,2016,9
"198",140.372069267681,2016,10
"199",11.4440207265192,2017,2
"200",16.1831453585704,2017,3
"201",20.0836937330543,2017,4
"202",24.4823418133266,2017,5
"203",29.4667538762965,2017,6
"204",37.6275090866003,2017,7
"205",43.6591579111334,2017,8
"206",63.0902147781697,2017,9
"207",151.455289843425,2017,10
"208",7.25440205272023,2018,2
"209",15.3975089915786,2018,3
"210",17.1228595045501,2018,4
"211",21.6876586924569,2018,5
"212",33.149193677717,2018,6
"213",39.4526861358405,2018,7
"214",57.0691651090431,2018,8
"215",70.0497667497006,2018,9
"216",164.579076118989,2018,10
"217",8.11814409033913,2019,2
"218",12.9220398324234,2019,3
"219",19.1299983747414,2019,4
"220",24.5089475478929,2019,5
"221",28.3485537181545,2019,6
"222",38.0017933466389,2019,7
"223",52.9263839495166,2019,8
"224",52.1451718084393,2019,9
"225",175.544754955783,2019,10
"226",9.23335116899277,2020,2
"227",12.4317320761765,2020,3
"228",18.8086186358536,2020,4
"229",24.4153257586188,2020,5
"230",31.813587442201,2020,6
"231",42.0725574596454,2020,7
"232",53.1574002400303,2020,8
"233",51.9400255217407,2020,9
"234",173.788132450739,2020,10
