"","number_sel","biomass_sel","year","age"
"213",2555350.73179285,100.815450388414,2018,7
"214",2439982.1715422,139.247745410864,2018,8
"215",3665494.04314448,256.767002744688,2018,9
"216",55919941.2020069,9203.25225965449,2018,10
"217",1473233.33064973,11.9599204569047,2019,2
"218",1687571.69288891,21.8068686355808,2019,3
"219",695100.992715382,13.2972808609264,2019,4
"220",1665215.82511358,40.8126873136298,2019,5
"221",923148.666431954,26.169929560189,2019,6
"222",1424647.22170769,54.1391493111988,2019,7
"223",6840954.03181306,362.066959668731,2019,8
"224",2831405.44160748,147.644123211972,2019,9
"225",69347935.0618638,12173.6662671245,2019,10
"226",742429.626761158,6.85511346215,2020,2
"227",1794186.903621,22.3048508804009,2020,3
"228",509854.02792207,9.58964997114007,2020,4
"229",1207592.19958832,29.4837569365159,2020,5
"230",779023.529008674,24.7835331596494,2020,6
"231",1338733.45555909,56.3239402321594,2020,7
"232",8224188.06026628,437.176456368853,2020,8
"233",3704008.14983114,192.386277834965,2020,9
"234",69619587.024697,12099.0580110138,2020,10
